Tipo,Tamanho,Selection,Insertion,Quick,Merge
aleatorio,1000,0.000750000,0.000509000,0.000073000,0.000076000
aleatorio,5000,0.017532000,0.013082000,0.000417000,0.000458000
aleatorio,10000,0.070658000,0.052923000,0.000879000,0.000934000
aleatorio,50000,1.760602000,1.299735000,0.004847000,0.005174000
aleatorio,100000,6.876209000,5.213602000,0.010104000,0.011278000
repetido,1000,0.000693000,0.000419000,0.000040000,0.000078000
repetido,5000,0.017452000,0.010102000,0.000208000,0.000413000
repetido,10000,0.065920000,0.040525000,0.000597000,0.000998000
repetido,50000,1.716380000,1.019720000,0.002331000,0.004695000
repetido,100000,6.721582000,4.143017000,0.004786000,0.009982000
ordenado,1000,0.000693000,0.000004000,0.000419000,0.000062000
ordenado,5000,0.017483000,0.000015000,0.009910000,0.000360000
ordenado,10000,0.066750000,0.000029000,0.043219000,0.000746000
ordenado,50000,1.702017000,0.000151000,1.068513000,0.004141000
ordenado,100000,6.821561000,0.000297000,4.253985000,0.008690000
inverso,1000,0.000758000,0.001005000,0.000423000,0.000064000
inverso,5000,0.022847000,0.033071000,0.010067000,0.000354000
inverso,10000,0.076503000,0.099573000,0.039905000,0.000744000
inverso,50000,1.885350000,2.617105000,1.020328000,0.004161000
inverso,100000,7.507119000,10.331275000,4.204659000,0.008684000
